
 source | day        | time                     | humidity | light | temperaturecheck | temperaturein | temperatureout
--------+------------+--------------------------+----------+-------+------------------+---------------+----------------
      G | 2015-04-20 | 2015-04-21 01:59:54+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.56
      G | 2015-04-20 | 2015-04-21 01:59:44+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:59:33+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:59:23+0200 |     25.0 |     0 |             16.0 |         15.24 |          13.65
      G | 2015-04-20 | 2015-04-21 01:59:13+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:59:02+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:58:52+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:58:42+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:58:31+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:58:21+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:58:11+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:58:00+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:57:50+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:57:40+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:57:29+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:57:19+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:57:09+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:56:58+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:56:48+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:56:38+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:56:27+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.74
      G | 2015-04-20 | 2015-04-21 01:56:17+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:56:07+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.56
      G | 2015-04-20 | 2015-04-21 01:55:56+0200 |     25.0 |     0 |             16.0 |         15.33 |          13.65
      G | 2015-04-20 | 2015-04-21 01:55:46+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.56
      G | 2015-04-20 | 2015-04-21 01:55:36+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:55:26+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.56
      G | 2015-04-20 | 2015-04-21 01:55:15+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:55:05+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:54:54+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:54:44+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:54:34+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:54:24+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:54:13+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:54:03+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:53:53+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:53:42+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:53:32+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:53:22+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:53:11+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:53:01+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:52:51+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.74
      G | 2015-04-20 | 2015-04-21 01:52:40+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.74
      G | 2015-04-20 | 2015-04-21 01:52:30+0200 |     25.0 |     0 |             16.0 |         15.42 |          13.65
      G | 2015-04-20 | 2015-04-21 01:52:20+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:52:09+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:51:59+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:51:49+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.56
      G | 2015-04-20 | 2015-04-21 01:51:38+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:51:28+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:51:18+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:51:07+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.83
      G | 2015-04-20 | 2015-04-21 01:50:57+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.74
      G | 2015-04-20 | 2015-04-21 01:50:47+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:50:36+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:50:26+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:50:16+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:50:05+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:49:55+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:49:45+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:49:34+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:49:24+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:49:14+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:49:03+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:48:53+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.65
      G | 2015-04-20 | 2015-04-21 01:48:43+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.74
      G | 2015-04-20 | 2015-04-21 01:48:32+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:48:22+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.56
      G | 2015-04-20 | 2015-04-21 01:48:12+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:48:02+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:47:51+0200 |     25.0 |     0 |             16.0 |         15.69 |          13.65
      G | 2015-04-20 | 2015-04-21 01:47:41+0200 |     25.0 |     0 |             16.0 |         15.69 |          13.56
      G | 2015-04-20 | 2015-04-21 01:47:31+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:47:20+0200 |     25.0 |     0 |             16.0 |         15.51 |          13.56
      G | 2015-04-20 | 2015-04-21 01:47:10+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:47:00+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.65
      G | 2015-04-20 | 2015-04-21 01:46:49+0200 |     25.0 |     0 |             16.0 |         15.69 |          13.65
      G | 2015-04-20 | 2015-04-21 01:46:39+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:46:29+0200 |     25.0 |     0 |             16.0 |          15.6 |          13.56
      G | 2015-04-20 | 2015-04-21 01:46:18+0200 |     25.0 |     0 |             16.0 |         15.69 |          13.47
